distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_spent,cost
12.3,5.0,42,22.5,10,E10,0,0,0,12.5,0.615,1.1193
12.3,5.2,57,22.5,15,E10,0,0,1,7.5,0.6396000000000001,1.1640720000000002
12.5,4.3,57,22.5,16,E10,0,0,1,6.5,0.5375,0.97825
31.5,4.1,30,22.5,16,E10,0,0,1,6.5,1.2914999999999999,2.35053
11.8,4.4,42,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.9449440000000002
24.9,4.5,53,22.5,14,E10,0,0,0,8.5,1.1205,2.03931
17.0,3.9,46,22.5,14,E10,0,0,1,8.5,0.6629999999999999,1.2066599999999998
2.0,8.1,20,22.5,14,E10,0,0,0,8.5,0.162,0.29484000000000005
11.8,4.4,33,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.9449440000000002
7.4,5.0,31,22.5,12,E10,0,0,0,10.5,0.37,0.6734
12.4,4.7,55,22.5,14,E10,0,0,1,8.5,0.5828,1.060696
2.0,6.0,22,22.5,14,E10,0,0,0,8.5,0.12,0.2184
14.0,5.0,41,22.5,8,E10,0,0,0,14.5,0.7,1.274
25.7,5.0,45,22.5,7,E10,0,0,0,15.5,1.285,2.3387
24.5,3.9,50,21.9,15,E10,0,0,1,6.899999999999999,0.9555,1.7390100000000002
11.8,4.5,28,22.5,12,E10,0,0,0,10.5,0.531,0.9664200000000001
4.1,5.4,24,22.5,13,E10,0,0,0,9.5,0.2214,0.40294800000000003
4.2,5.6,29,22.0,17,E10,0,0,0,5.0,0.2352,0.428064
4.2,3.9,29,22.0,18,E10,0,0,1,4.0,0.1638,0.298116
16.0,4.0,40,22.0,10,E10,0,0,0,12.0,0.64,1.1648
22.9,4.0,29,21.9,21,E10,0,0,0,0.8999999999999986,0.9159999999999999,1.66712
16.0,3.8,42,21.9,8,E10,0,0,0,13.899999999999999,0.608,1.10656
15.4,4.5,50,22.0,14,E10,0,0,0,8.0,0.693,1.26126
16.0,3.8,41,22.0,12,E10,0,0,0,10.0,0.608,1.10656
4.2,5.6,32,22.0,18,E10,0,0,0,4.0,0.2352,0.428064
101.9,5.2,75,22.0,18,E10,0,0,0,4.0,5.2988,9.643816000000001
93.9,4.8,88,23.0,18,E10,1,0,1,5.0,4.5072,8.203104
16.6,3.7,49,22.0,17,E10,0,0,0,5.0,0.6142000000000001,1.1178440000000003
15.4,4.5,43,22.0,24,E10,0,0,0,-2.0,0.693,1.26126
16.5,3.9,43,22.0,17,E10,0,0,0,5.0,0.6435,1.17117
15.4,5.1,21,22.0,24,E10,0,0,0,-2.0,0.7853999999999999,1.429428
18.4,4.2,59,22.0,24,E10,0,0,0,-2.0,0.7728,1.4064960000000002
39.5,4.2,58,22.0,25,E10,0,0,0,-3.0,1.659,3.01938
21.5,4.8,47,25.0,27,E10,1,0,1,-2.0,1.032,1.8782400000000001
4.8,4.7,26,25.0,18,E10,0,0,0,7.0,0.2256,0.410592
100.9,4.7,87,23.5,22,E10,0,0,0,1.5,4.7423,8.630986
129.7,4.6,58,24.0,21,E10,0,0,0,3.0,5.966199999999999,10.858483999999999
16.6,3.8,43,21.5,16,E10,0,0,0,5.5,0.6308,1.1480560000000002
15.4,4.2,50,21.5,21,E10,0,0,0,0.5,0.6468,1.1771760000000002
16.0,3.7,45,22.0,17,E10,0,0,0,5.0,0.5920000000000001,1.0774400000000002
16.0,4.2,41,22.0,15,E10,0,0,0,7.0,0.672,1.2230400000000001
15.4,4.1,45,22.0,24,E10,0,0,0,-2.0,0.6314,1.149148
16.0,4.0,43,22.0,16,E10,0,0,0,6.0,0.64,1.1648
21.0,3.8,37,22.0,21,E10,0,0,0,1.0,0.7979999999999999,1.4523599999999999
15.4,3.8,47,22.0,24,E10,0,0,0,-2.0,0.5851999999999999,1.065064
16.0,3.8,42,22.0,17,E10,0,0,0,5.0,0.608,1.10656
16.1,5.1,30,25.0,16,E10,1,1,0,9.0,0.8210999999999999,1.494402
16.0,4.0,42,22.0,15,E10,0,0,0,7.0,0.64,1.1648
15.4,4.8,40,22.0,18,E10,0,0,0,4.0,0.7392,1.345344
17.2,3.9,35,22.0,16,E10,0,0,0,6.0,0.6708,1.220856
16.6,4.6,50,22.0,25,E10,0,0,0,-3.0,0.7636,1.3897519999999999
5.4,3.3,32,21.5,7,SP98,0,0,0,14.5,0.1782,0.34748999999999997
2.0,9.9,21,21.5,4,SP98,0,0,0,17.5,0.198,0.3861
14.2,5.1,32,21.5,7,SP98,0,0,0,14.5,0.7241999999999998,1.4121899999999996
16.0,4.9,25,21.5,8,SP98,0,0,0,13.5,0.784,1.5288
11.8,4.9,25,21.5,11,SP98,0,0,0,10.5,0.5782,1.12749
27.3,4.7,36,21.5,10,SP98,0,0,0,11.5,1.2831000000000001,2.5020450000000003
11.8,5.1,29,21.5,5,SP98,0,1,0,16.5,0.6018,1.17351
10.6,4.9,63,21.5,6,SP98,0,0,0,15.5,0.5194000000000001,1.0128300000000001
11.6,4.2,61,21.5,7,SP98,0,0,0,14.5,0.48719999999999997,0.9500399999999999
13.1,6.1,46,21.5,6,SP98,0,1,0,15.5,0.7990999999999999,1.5582449999999999
6.1,6.4,28,21.5,8,SP98,0,0,0,13.5,0.39039999999999997,0.76128
153.5,4.9,82,21.5,3,SP98,0,1,0,18.5,7.5215000000000005,14.666925
11.8,4.9,24,21.5,7,SP98,0,0,0,14.5,0.5782,1.12749
12.3,6.2,61,21.5,8,SP98,0,0,0,13.5,0.7626000000000001,1.4870700000000001
12.4,4.2,57,21.5,8,SP98,0,0,0,13.5,0.5208,1.01556
12.3,5.7,52,21.5,8,SP98,0,1,0,13.5,0.7011,1.3671449999999998
2.9,7.9,18,21.5,9,SP98,1,1,0,12.5,0.2291,0.446745
2.1,12.2,23,21.5,9,SP98,1,1,0,12.5,0.2562,0.49959
9.8,5.8,24,21.5,6,SP98,0,0,0,15.5,0.5684,1.10838
6.8,5.3,26,21.5,6,SP98,0,0,0,15.5,0.3604,0.70278
12.4,5.4,24,21.5,7,SP98,0,0,0,14.5,0.6696000000000001,1.3057200000000002
12.4,4.7,57,21.5,8,SP98,0,0,0,13.5,0.5828,1.13646
11.8,4.6,41,21.5,6,SP98,0,0,0,15.5,0.5428000000000001,1.0584600000000002
12.3,5.4,55,21.5,8,SP98,0,0,0,13.5,0.6642,1.29519
14.0,4.3,40,21.5,8,SP98,0,0,0,13.5,0.602,1.1739
11.8,4.5,37,21.5,4,SP98,1,0,0,17.5,0.531,1.03545
12.3,5.2,55,21.5,12,SP98,0,0,0,9.5,0.6396000000000001,1.24722
2.0,6.2,20,21.5,10,SP98,0,0,0,11.5,0.124,0.2418
13.9,5.1,29,21.5,6,SP98,0,0,0,15.5,0.7089,1.382355
9.7,3.9,42,21.5,8,SP98,0,0,0,13.5,0.37829999999999997,0.7376849999999999
11.6,5.0,25,21.5,6,SP98,0,0,0,15.5,0.58,1.131
14.2,5.4,38,21.5,7,SP98,0,0,0,14.5,0.7668,1.49526
11.8,4.5,39,21.5,6,SP98,0,0,0,15.5,0.531,1.03545
24.8,5.1,50,21.5,9,SP98,0,0,0,12.5,1.2648,2.46636
12.4,4.7,56,21.5,7,SP98,0,0,0,14.5,0.5828,1.13646
34.8,4.0,28,20.0,4,SP98,0,0,0,16.0,1.392,2.7144
14.2,5.4,36,20.0,6,SP98,0,0,0,14.0,0.7668,1.49526
5.2,4.5,39,20.0,10,SP98,0,0,0,10.0,0.234,0.45630000000000004
10.5,3.6,42,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.7371000000000001
